Problem no : 2
Minimum cost is 177.7600210797930629৳ 
Source:  (90.412500, 23.810300)
Destination:  (90.388400, 23.750400)
Walk from Source (90.412500, 23.810300) to (90.412122, 23.809921)
Cost: 2.0987272009261493৳ . Ride Car from  (90.412122, 23.809921) to (90.413152, 23.809972)
Cost: 1.0877314509376539৳ . Ride Car from  (90.413152, 23.809972) to (90.413188, 23.809484)
Cost: 1.6536721721301402৳ . Ride Car from  (90.413188, 23.809484) to (90.413618, 23.808853)
Cost: 2.8552307476876222৳ . Ride Car from  (90.413618, 23.808853) to (90.414622, 23.807956)
Cost: 2.1888712330639435৳ . Ride Car from  (90.414622, 23.807956) to (90.415346, 23.807228)
Cost: 1.7933264517776513৳ . Ride Car from  (90.415346, 23.807228) to (90.415628, 23.806464)
Cost: 0.6677592719086862৳ . Ride Car from  (90.415628, 23.806464) to (90.415480, 23.806196)
Cost: 1.8667003462110103৳ . Ride Car from  (90.415480, 23.806196) to (90.415637, 23.805369)
Cost: 1.6887969575410133৳ . Ride Car from  (90.415637, 23.805369) to (90.414807, 23.805368)
Cost: 1.7763220840690261৳ . Ride Car from  (90.414807, 23.805368) to (90.413934, 23.805373)
Cost: 0.2591251214109200৳ . Ride Car from  (90.413934, 23.805373) to (90.413922, 23.805257)
Cost: 2.6753623147964651৳ . Ride Car from  (90.413922, 23.805257) to (90.413918, 23.804054)
Cost: 2.6890659364956275৳ . Ride Car from  (90.413918, 23.804054) to (90.413896, 23.802845)
Cost: 1.1497573419578635৳ . Ride Car from  (90.413896, 23.802845) to (90.413895, 23.802328)
Cost: 1.9050899361522862৳ . Ride Car from  (90.413895, 23.802328) to (90.412959, 23.802349)
Cost: 1.7788653586276435৳ . Ride Car from  (90.412959, 23.802349) to (90.413019, 23.801551)
Cost: 4.3512540636542205৳ . Ride Car from  (90.413019, 23.801551) to (90.413712, 23.799700)
Cost: 0.1244400678301964৳ . Ride Car from  (90.413712, 23.799700) to (90.413773, 23.799704)
Cost: 0.6338503605686536৳ . Ride Car from  (90.413773, 23.799704) to (90.413810, 23.799421)
Cost: 1.0991543791048719৳ . Ride Car from  (90.413810, 23.799421) to (90.413914, 23.798936)
Cost: 0.0559315780160567৳ . Ride Car from  (90.413914, 23.798936) to (90.413917, 23.798911)
Cost: 0.1297701698276732৳ . Ride Car from  (90.413917, 23.798911) to (90.413924, 23.798853)
Cost: 1.4072851062226654৳ . Ride Car from  (90.413924, 23.798853) to (90.413989, 23.798223)
Cost: 1.3000552580379652৳ . Ride Car from  (90.413989, 23.798223) to (90.414036, 23.797640)
Cost: 0.1877029878359104৳ . Ride Car from  (90.414036, 23.797640) to (90.414045, 23.797556)
Cost: 3.2191324834681585৳ . Ride Car from  (90.414045, 23.797556) to (90.414183, 23.796114)
Cost: 1.0108336642019375৳ . Ride Car from  (90.414183, 23.796114) to (90.413695, 23.796029)
Cost: 0.6555644001475375৳ . Ride Car from  (90.413695, 23.796029) to (90.413799, 23.795750)
Cost: 1.4176726254140839৳ . Ride Car from  (90.413799, 23.795750) to (90.413135, 23.795557)
Cost: 1.1155747678839452৳ . Ride Car from  (90.413135, 23.795557) to (90.412962, 23.795081)
Cost: 1.5626875876002080৳ . Ride Car from  (90.412962, 23.795081) to (90.413029, 23.794381)
Cost: 1.3366831576980283৳ . Ride Car from  (90.413029, 23.794381) to (90.412404, 23.794196)
Cost: 0.3056096206662657৳ . Ride Car from  (90.412404, 23.794196) to (90.412261, 23.794154)
Cost: 0.4704309475853569৳ . Ride Car from  (90.412261, 23.794154) to (90.412041, 23.794089)
Cost: 2.7167733880631988৳ . Ride Car from  (90.412041, 23.794089) to (90.410770, 23.793715)
Cost: 1.1540067076915452৳ . Ride Car from  (90.410770, 23.793715) to (90.410218, 23.793596)
Cost: 0.0882971669253858৳ . Ride Car from  (90.410218, 23.793596) to (90.410177, 23.793609)
Cost: 0.8222816149950029৳ . Ride Car from  (90.410177, 23.793609) to (90.409782, 23.793531)
Cost: 0.4372247825416784৳ . Ride Car from  (90.409782, 23.793531) to (90.409570, 23.793499)
Cost: 0.1797514355806355৳ . Ride Car from  (90.409570, 23.793499) to (90.409483, 23.793485)
Cost: 1.7316881769183960৳ . Ride Car from  (90.409483, 23.793485) to (90.408632, 23.793483)
Cost: 0.2340111456924289৳ . Ride Car from  (90.408632, 23.793483) to (90.408517, 23.793483)
Cost: 1.3207667950869695৳ . Ride Car from  (90.408517, 23.793483) to (90.408399, 23.792899)
Cost: 0.1773768284574022৳ . Ride Car from  (90.408399, 23.792899) to (90.408387, 23.792820)
Cost: 0.7750738146863965৳ . Ride Car from  (90.408387, 23.792820) to (90.408333, 23.792475)
Cost: 1.2236147162400561৳ . Ride Car from  (90.408333, 23.792475) to (90.407737, 23.792548)
Cost: 0.6197310352018455৳ . Ride Car from  (90.407737, 23.792548) to (90.407435, 23.792584)
Cost: 0.6367514724111629৳ . Ride Car from  (90.407435, 23.792584) to (90.407125, 23.792623)
Cost: 1.2708873370090334৳ . Ride Car from  (90.407125, 23.792623) to (90.406506, 23.792699)
Cost: 1.3811586984473787৳ . Ride Car from  (90.406506, 23.792699) to (90.406404, 23.792085)
