Problem No: 6
Source: (23.834145, 0.000000)
Destination: (0.000000, 0.000000)
Starting time at source: -4:30283 AM
Destination reaching time: 3:43 AM

-4:30283 AM - 12:56 PM, Cost: ৳0.00: Walk from Source (23.834145, 0.000000) to (23.829023, 90.343222).
12:56 PM - 12:56 PM, Cost: ৳3.45: Ride Car from (23.83, 90.34) to (23.83, 90.34).
12:56 PM - 12:56 PM, Cost: ৳1.40: Ride Car from (23.83, 90.34) to (23.83, 90.35).
12:56 PM - 12:56 PM, Cost: ৳1.45: Ride Car from (23.83, 90.35) to (23.83, 90.35).
12:56 PM - 12:56 PM, Cost: ৳1.65: Ride Car from (23.83, 90.35) to (23.83, 90.35).
12:56 PM - 12:56 PM, Cost: ৳5.01: Ride Car from (23.83, 90.35) to (23.82, 90.34).
12:56 PM - 12:56 PM, Cost: ৳3.39: Ride Car from (23.82, 90.34) to (23.82, 90.34).
12:56 PM - 12:56 PM, Cost: ৳2.94: Ride Car from (23.82, 90.34) to (23.82, 90.34).
12:56 PM - 12:56 PM, Cost: ৳0.67: Ride Car from (23.82, 90.34) to (23.82, 90.34).
12:56 PM - 12:56 PM, Cost: ৳1.27: Ride Car from (23.82, 90.34) to (23.82, 90.34).
12:56 PM - 12:56 PM, Cost: ৳1.62: Ride Car from (23.82, 90.34) to (23.82, 90.34).
12:56 PM - 12:56 PM, Cost: ৳3.27: Ride Car from (23.82, 90.34) to (23.82, 90.34).
12:56 PM - 12:56 PM, Cost: ৳1.59: Ride Car from (23.82, 90.34) to (23.82, 90.34).
12:56 PM - 12:56 PM, Cost: ৳0.56: Ride Car from (23.82, 90.34) to (23.82, 90.34).
12:56 PM - 12:56 PM, Cost: ৳0.59: Ride Car from (23.82, 90.34) to (23.82, 90.34).
12:56 PM - 12:56 PM, Cost: ৳1.39: Ride Car from (23.82, 90.34) to (23.82, 90.34).
12:56 PM - 12:56 PM, Cost: ৳2.22: Ride Car from (23.82, 90.34) to (23.82, 90.34).
12:56 PM - 12:56 PM, Cost: ৳2.92: Ride Car from (23.82, 90.34) to (23.82, 90.34).
12:56 PM - 12:56 PM, Cost: ৳0.28: Ride Car from (23.82, 90.34) to (23.82, 90.34).
12:56 PM - 12:56 PM, Cost: ৳3.88: Ride Car from (23.82, 90.34) to (23.81, 90.34).
12:56 PM - 12:56 PM, Cost: ৳2.06: Ride Car from (23.81, 90.34) to (23.81, 90.34).
12:56 PM - 12:56 PM, Cost: ৳2.88: Ride Car from (23.81, 90.34) to (23.81, 90.34).
12:56 PM - 12:56 PM, Cost: ৳2.85: Ride Car from (23.81, 90.34) to (23.81, 90.34).
12:56 PM - 12:56 PM, Cost: ৳2.61: Ride Car from (23.81, 90.34) to (23.81, 90.34).
12:56 PM - 12:56 PM, Cost: ৳1.99: Ride Car from (23.81, 90.34) to (23.81, 90.34).
12:56 PM - 12:56 PM, Cost: ৳2.43: Ride Car from (23.81, 90.34) to (23.81, 90.34).
12:56 PM - 12:56 PM, Cost: ৳1.00: Ride Car from (23.81, 90.34) to (23.81, 90.34).
